state,abbr,tax_2011,tax_2017,delta_tax,num_of_preemptions,bar_restrictions,work_restrictions,restaurant_restrictions,funding_per_capita,expenditures_per_capita,percent_funding_used,fee_for_service_plans,managed_care_plans,quitline_calls_per_10000,region,division,year,percent
Colorado,CO,0.84,0.84,0,0,Banned,Banned,Banned,5.25,4.65,88.57142857142858,Yes,No,13.55,West,Mountain,2016,15.6
Colorado,CO,0.84,0.84,0,0,Banned,Banned,Banned,5.25,4.65,88.57142857142858,Yes,No,13.55,West,Mountain,2015,15.6
Colorado,CO,0.84,0.84,0,0,Banned,Banned,Banned,5.25,4.65,88.57142857142858,Yes,No,13.55,West,Mountain,2014,15.7
Colorado,CO,0.84,0.84,0,0,Banned,Banned,Banned,5.25,4.65,88.57142857142858,Yes,No,13.55,West,Mountain,2013,17.7
Colorado,CO,0.84,0.84,0,0,Banned,Banned,Banned,5.25,4.65,88.57142857142858,Yes,No,13.55,West,Mountain,2012,17.7
Colorado,CO,0.84,0.84,0,0,Banned,Banned,Banned,5.25,4.65,88.57142857142858,Yes,No,13.55,West,Mountain,2011,18.3
Connecticut,CT,3.2,4.125,0.9249999999999998,1,Separate Ventilated Areas,Separate Ventilated Areas,Separate Ventilated Areas,1.33,0.85,63.909774436090224,Yes,Not Applicable,6.65,Northeast,New England,2017,12.7
Connecticut,CT,3.2,4.125,0.9249999999999998,1,Separate Ventilated Areas,Separate Ventilated Areas,Separate Ventilated Areas,1.33,0.85,63.909774436090224,Yes,Not Applicable,6.65,Northeast,New England,2016,13.3
Connecticut,CT,3.2,4.125,0.9249999999999998,1,Separate Ventilated Areas,Separate Ventilated Areas,Separate Ventilated Areas,1.33,0.85,63.909774436090224,Yes,Not Applicable,6.65,Northeast,New England,2015,13.5
Connecticut,CT,3.2,4.125,0.9249999999999998,1,Separate Ventilated Areas,Separate Ventilated Areas,Separate Ventilated Areas,1.33,0.85,63.909774436090224,Yes,Not Applicable,6.65,Northeast,New England,2014,15.4
Connecticut,CT,3.2,4.125,0.9249999999999998,1,Separate Ventilated Areas,Separate Ventilated Areas,Separate Ventilated Areas,1.33,0.85,63.909774436090224,Yes,Not Applicable,6.65,Northeast,New England,2013,15.5
Connecticut,CT,3.2,4.125,0.9249999999999998,1,Separate Ventilated Areas,Separate Ventilated Areas,Separate Ventilated Areas,1.33,0.85,63.909774436090224,Yes,Not Applicable,6.65,Northeast,New England,2012,16
Connecticut,CT,3.2,4.125,0.9249999999999998,1,Separate Ventilated Areas,Separate Ventilated Areas,Separate Ventilated Areas,1.33,0.85,63.909774436090224,Yes,Not Applicable,6.65,Northeast,New England,2011,17.1
Delaware,DE,1.6,1.85,0.25,2,Banned,Banned,Banned,9.81,9.06,92.35474006116208,Yes,No,33.675,South,South Atlantic,2017,17.0
Delaware,DE,1.6,1.85,0.25,2,Banned,Banned,Banned,9.81,9.06,92.35474006116208,Yes,No,33.675,South,South Atlantic,2016,17.7
Delaware,DE,1.6,1.85,0.25,2,Banned,Banned,Banned,9.81,9.06,92.35474006116208,Yes,No,33.675,South,South Atlantic,2015,17.4
Delaware,DE,1.6,1.85,0.25,2,Banned,Banned,Banned,9.81,9.06,92.35474006116208,Yes,No,33.675,South,South Atlantic,2014,19.9
Delaware,DE,1.6,1.85,0.25,2,Banned,Banned,Banned,9.81,9.06,92.35474006116208,Yes,No,33.675,South,South Atlantic,2013,19.6
Delaware,DE,1.6,1.85,0.25,2,Banned,Banned,Banned,9.81,9.06,92.35474006116208,Yes,No,33.675,South,South Atlantic,2012,19.7
Delaware,DE,1.6,1.85,0.25,2,Banned,Banned,Banned,9.81,9.06,92.35474006116208,Yes,No,33.675,South,South Atlantic,2011,21.8
District of Columbia,DC,2.5,2.92,0.41999999999999993,0,Banned,Banned,Banned,2.07,2.02,97.58454106280195,No,No,17.9,South,South Atlantic,2017,14.3
District of Columbia,DC,2.5,2.92,0.41999999999999993,0,Banned,Banned,Banned,2.07,2.02,97.58454106280195,No,No,17.9,South,South Atlantic,2016,14.7
District of Columbia,DC,2.5,2.92,0.41999999999999993,0,Banned,Banned,Banned,2.07,2.02,97.58454106280195,No,No,17.9,South,South Atlantic,2015,16
District of Columbia,DC,2.5,2.92,0.41999999999999993,0,Banned,Banned,Banned,2.07,2.02,97.58454106280195,No,No,17.9,South,South Atlantic,2014,16.4
District of Columbia,DC,2.5,2.92,0.41999999999999993,0,Banned,Banned,Banned,2.07,2.02,97.58454106280195,No,No,17.9,South,South Atlantic,2013,18.8
District of Columbia,DC,2.5,2.92,0.41999999999999993,0,Banned,Banned,Banned,2.07,2.02,97.58454106280195,No,No,17.9,South,South Atlantic,2012,19.6
District of Columbia,DC,2.5,2.92,0.41999999999999993,0,Banned,Banned,Banned,2.07,2.02,97.58454106280195,No,No,17.9,South,South Atlantic,2011,20.8
Florida,FL,1.339,1.339,0,1,None,Banned,Banned,3.43,3.45,100.58309037900874,No,No,14.35,South,South Atlantic,2017,16.1
Florida,FL,1.339,1.339,0,1,None,Banned,Banned,3.43,3.45,100.58309037900874,No,No,14.35,South,South Atlantic,2016,15.5
Florida,FL,1.339,1.339,0,1,None,Banned,Banned,3.43,3.45,100.58309037900874,No,No,14.35,South,South Atlantic,2015,15.8
Florida,FL,1.339,1.339,0,1,None,Banned,Banned,3.43,3.45,100.58309037900874,No,No,14.35,South,South Atlantic,2014,17.6
Florida,FL,1.339,1.339,0,1,None,Banned,Banned,3.43,3.45,100.58309037900874,No,No,14.35,South,South Atlantic,2013,16.8
Florida,FL,1.339,1.339,0,1,None,Banned,Banned,3.43,3.45,100.58309037900874,No,No,14.35,South,South Atlantic,2012,17.7
Florida,FL,1.339,1.339,0,1,None,Banned,Banned,3.43,3.45,100.58309037900874,No,No,14.35,South,South Atlantic,2011,19.3
Georgia,GA,0.37,0.37,0,0,Designated Areas,Designated Areas,Designated Areas,0.43,0.34,79.06976744186046,No,No,9.975,South,South Atlantic,2017,17.5
Georgia,GA,0.37,0.37,0,0,Designated Areas,Designated Areas,Designated Areas,0.43,0.34,79.06976744186046,No,No,9.975,South,South Atlantic,2016,17.9
Georgia,GA,0.37,0.37,0,0,Designated Areas,Designated Areas,Designated Areas,0.43,0.34,79.06976744186046,No,No,9.975,South,South Atlantic,2015,17.7
Georgia,GA,0.37,0.37,0,0,Designated Areas,Designated Areas,Designated Areas,0.43,0.34,79.06976744186046,No,No,9.975,South,South Atlantic,2014,17.4
Georgia,GA,0.37,0.37,0,0,Designated Areas,Designated Areas,Designated Areas,0.43,0.34,79.06976744186046,No,No,9.975,South,South Atlantic,2013,18.8
Georgia,GA,0.37,0.37,0,0,Designated Areas,Designated Areas,Designated Areas,0.43,0.34,79.06976744186046,No,No,9.975,South,South Atlantic,2012,20.4
Georgia,GA,0.37,0.37,0,0,Designated Areas,Designated Areas,Designated Areas,0.43,0.34,79.06976744186046,No,No,9.975,South,South Atlantic,2011,21.2
Hawaii,HI,3.1,3.2,0.10000000000000009,0,Banned,Banned,Banned,6.3,5.88,93.33333333333334,No,No,9.875,West,Pacific,2017,12.8
Hawaii,HI,3.1,3.2,0.10000000000000009,0,Banned,Banned,Banned,6.3,5.88,93.33333333333334,No,No,9.875,West,Pacific,2016,13.1
Hawaii,HI,3.1,3.2,0.10000000000000009,0,Banned,Banned,Banned,6.3,5.88,93.33333333333334,No,No,9.875,West,Pacific,2015,14.1
Hawaii,HI,3.1,3.2,0.10000000000000009,0,Banned,Banned,Banned,6.3,5.88,93.33333333333334,No,No,9.875,West,Pacific,2014,14.1
Hawaii,HI,3.1,3.2,0.10000000000000009,0,Banned,Banned,Banned,6.3,5.88,93.33333333333334,No,No,9.875,West,Pacific,2013,13.3
Hawaii,HI,3.1,3.2,0.10000000000000009,0,Banned,Banned,Banned,6.3,5.88,93.33333333333334,No,No,9.875,West,Pacific,2012,14.6
Hawaii,HI,3.1,3.2,0.10000000000000009,0,Banned,Banned,Banned,6.3,5.88,93.33333333333334,No,No,9.875,West,Pacific,2011,16.8
Idaho,ID,0.57,0.57,0,1,None,Designated Areas,Banned,3.08,2.69,87.33766233766234,No,Not Applicable,14.825,West,Mountain,2017,14.3
Idaho,ID,0.57,0.57,0,1,None,Designated Areas,Banned,3.08,2.69,87.33766233766234,No,Not Applicable,14.825,West,Mountain,2016,14.5
Idaho,ID,0.57,0.57,0,1,None,Designated Areas,Banned,3.08,2.69,87.33766233766234,No,Not Applicable,14.825,West,Mountain,2015,13.8
Idaho,ID,0.57,0.57,0,1,None,Designated Areas,Banned,3.08,2.69,87.33766233766234,No,Not Applicable,14.825,West,Mountain,2014,15.9
Idaho,ID,0.57,0.57,0,1,None,Designated Areas,Banned,3.08,2.69,87.33766233766234,No,Not Applicable,14.825,West,Mountain,2013,17.2
Idaho,ID,0.57,0.57,0,1,None,Designated Areas,Banned,3.08,2.69,87.33766233766234,No,Not Applicable,14.825,West,Mountain,2012,16.4
Idaho,ID,0.57,0.57,0,1,None,Designated Areas,Banned,3.08,2.69,87.33766233766234,No,Not Applicable,14.825,West,Mountain,2011,17.2
Illinois,IL,0.98,1.98,1,0,Banned,Banned,Banned,1.06,1.18,111.32075471698113,No,No,6.675,Midwest,East North Central,2017,15.5
Illinois,IL,0.98,1.98,1,0,Banned,Banned,Banned,1.06,1.18,111.32075471698113,No,No,6.675,Midwest,East North Central,2016,15.8
Illinois,IL,0.98,1.98,1,0,Banned,Banned,Banned,1.06,1.18,111.32075471698113,No,No,6.675,Midwest,East North Central,2015,15.1
Illinois,IL,0.98,1.98,1,0,Banned,Banned,Banned,1.06,1.18,111.32075471698113,No,No,6.675,Midwest,East North Central,2014,16.5
Illinois,IL,0.98,1.98,1,0,Banned,Banned,Banned,1.06,1.18,111.32075471698113,No,No,6.675,Midwest,East North Central,2013,18
Illinois,IL,0.98,1.98,1,0,Banned,Banned,Banned,1.06,1.18,111.32075471698113,No,No,6.675,Midwest,East North Central,2012,18.6
Illinois,IL,0.98,1.98,1,0,Banned,Banned,Banned,1.06,1.18,111.32075471698113,No,No,6.675,Midwest,East North Central,2011,20.9
Indiana,IN,0.995,0.995,0,2,None,Banned,Banned,1.17,1.17,100,Yes,Yes,10.95,Midwest,East North Central,2017,21.8
Indiana,IN,0.995,0.995,0,2,None,Banned,Banned,1.17,1.17,100,Yes,Yes,10.95,Midwest,East North Central,2016,21.1
Indiana,IN,0.995,0.995,0,2,None,Banned,Banned,1.17,1.17,100,Yes,Yes,10.95,Midwest,East North Central,2015,20.6
Indiana,IN,0.995,0.995,0,2,None,Banned,Banned,1.17,1.17,100,Yes,Yes,10.95,Midwest,East North Central,2014,22.9
Indiana,IN,0.995,0.995,0,2,None,Banned,Banned,1.17,1.17,100,Yes,Yes,10.95,Midwest,East North Central,2013,21.9
Indiana,IN,0.995,0.995,0,2,None,Banned,Banned,1.17,1.17,100,Yes,Yes,10.95,Midwest,East North Central,2012,24
Indiana,IN,0.995,0.995,0,2,None,Banned,Banned,1.17,1.17,100,Yes,Yes,10.95,Midwest,East North Central,2011,25.6
Iowa,IA,1.36,1.36,0,2,Banned,Banned,Banned,2.25,2.17,96.44444444444444,No,No,16.025000000000002,Midwest,West North Central,2017,17.1
Iowa,IA,1.36,1.36,0,2,Banned,Banned,Banned,2.25,2.17,96.44444444444444,No,No,16.025000000000002,Midwest,West North Central,2016,16.7
Iowa,IA,1.36,1.36,0,2,Banned,Banned,Banned,2.25,2.17,96.44444444444444,No,No,16.025000000000002,Midwest,West North Central,2015,18.1
Iowa,IA,1.36,1.36,0,2,Banned,Banned,Banned,2.25,2.17,96.44444444444444,No,No,16.025000000000002,Midwest,West North Central,2014,18.5
Iowa,IA,1.36,1.36,0,2,Banned,Banned,Banned,2.25,2.17,96.44444444444444,No,No,16.025000000000002,Midwest,West North Central,2013,19.5
Iowa,IA,1.36,1.36,0,2,Banned,Banned,Banned,2.25,2.17,96.44444444444444,No,No,16.025000000000002,Midwest,West North Central,2012,18.1
Iowa,IA,1.36,1.36,0,2,Banned,Banned,Banned,2.25,2.17,96.44444444444444,No,No,16.025000000000002,Midwest,West North Central,2011,20.4
Kansas,KS,0.79,1.29,0.5,0,Banned,Banned,Banned,0.97,1.34,138.1443298969072,No,No,5.6,Midwest,West North Central,2017,17.4
Kansas,KS,0.79,1.29,0.5,0,Banned,Banned,Banned,0.97,1.34,138.1443298969072,No,No,5.6,Midwest,West North Central,2016,17.2
Kansas,KS,0.79,1.29,0.5,0,Banned,Banned,Banned,0.97,1.34,138.1443298969072,No,No,5.6,Midwest,West North Central,2015,17.7
Kansas,KS,0.79,1.29,0.5,0,Banned,Banned,Banned,0.97,1.34,138.1443298969072,No,No,5.6,Midwest,West North Central,2014,18.1
Kansas,KS,0.79,1.29,0.5,0,Banned,Banned,Banned,0.97,1.34,138.1443298969072,No,No,5.6,Midwest,West North Central,2013,20
Kansas,KS,0.79,1.29,0.5,0,Banned,Banned,Banned,0.97,1.34,138.1443298969072,No,No,5.6,Midwest,West North Central,2012,19.4
Kansas,KS,0.79,1.29,0.5,0,Banned,Banned,Banned,0.97,1.34,138.1443298969072,No,No,5.6,Midwest,West North Central,2011,22
Kentucky,KY,0.6,0.6,0,2,None,None,None,1.08,0.9,83.33333333333333,Yes,Yes,4.225,South,East South Central,2017,24.6
Kentucky,KY,0.6,0.6,0,2,None,None,None,1.08,0.9,83.33333333333333,Yes,Yes,4.225,South,East South Central,2016,24.5
