state,abbr,tax_2011,tax_2017,delta_tax,num_of_preemptions,bar_restrictions,work_restrictions,restaurant_restrictions,funding_per_capita,expenditures_per_capita,percent_funding_used,fee_for_service_plans,managed_care_plans,quitline_calls_per_10000,region,division,year,percent
Missouri,MO,0.17,0.17,0,0,Designated Areas,Designated Areas,Designated Areas,0.36,0.39,108.33333333333334,Yes,Yes,6.75,Midwest,West North Central,2013,22.1
Missouri,MO,0.17,0.17,0,0,Designated Areas,Designated Areas,Designated Areas,0.36,0.39,108.33333333333334,Yes,Yes,6.75,Midwest,West North Central,2012,23.9
Missouri,MO,0.17,0.17,0,0,Designated Areas,Designated Areas,Designated Areas,0.36,0.39,108.33333333333334,Yes,Yes,6.75,Midwest,West North Central,2011,25
Montana,MT,1.7,1.7,0,3,Banned,Banned,Banned,6.39,6.15,96.24413145539907,No,No,13.325,West,Mountain,2017,17.2
Montana,MT,1.7,1.7,0,3,Banned,Banned,Banned,6.39,6.15,96.24413145539907,No,No,13.325,West,Mountain,2016,18.5
Montana,MT,1.7,1.7,0,3,Banned,Banned,Banned,6.39,6.15,96.24413145539907,No,No,13.325,West,Mountain,2015,18.9
Montana,MT,1.7,1.7,0,3,Banned,Banned,Banned,6.39,6.15,96.24413145539907,No,No,13.325,West,Mountain,2014,19.9
Montana,MT,1.7,1.7,0,3,Banned,Banned,Banned,6.39,6.15,96.24413145539907,No,No,13.325,West,Mountain,2013,19
Montana,MT,1.7,1.7,0,3,Banned,Banned,Banned,6.39,6.15,96.24413145539907,No,No,13.325,West,Mountain,2012,19.7
Montana,MT,1.7,1.7,0,3,Banned,Banned,Banned,6.39,6.15,96.24413145539907,No,No,13.325,West,Mountain,2011,22.1
Nebraska,NE,0.64,0.64,0,0,Banned,Banned,Banned,1.97,1.98,100.50761421319797,No,No,9.875,Midwest,West North Central,2017,15.4
Nebraska,NE,0.64,0.64,0,0,Banned,Banned,Banned,1.97,1.98,100.50761421319797,No,No,9.875,Midwest,West North Central,2016,17
Nebraska,NE,0.64,0.64,0,0,Banned,Banned,Banned,1.97,1.98,100.50761421319797,No,No,9.875,Midwest,West North Central,2015,17.1
Nebraska,NE,0.64,0.64,0,0,Banned,Banned,Banned,1.97,1.98,100.50761421319797,No,No,9.875,Midwest,West North Central,2014,17.3
Nebraska,NE,0.64,0.64,0,0,Banned,Banned,Banned,1.97,1.98,100.50761421319797,No,No,9.875,Midwest,West North Central,2013,18.5
Nebraska,NE,0.64,0.64,0,0,Banned,Banned,Banned,1.97,1.98,100.50761421319797,No,No,9.875,Midwest,West North Central,2012,19.7
Nebraska,NE,0.64,0.64,0,0,Banned,Banned,Banned,1.97,1.98,100.50761421319797,No,No,9.875,Midwest,West North Central,2011,20
Nevada,NV,0.8,1.8,1,2,None,Banned,Banned,0.71,0.66,92.95774647887325,No,No,3.175,West,Mountain,2017,17.6
Nevada,NV,0.8,1.8,1,2,None,Banned,Banned,0.71,0.66,92.95774647887325,No,No,3.175,West,Mountain,2016,16.5
Nevada,NV,0.8,1.8,1,2,None,Banned,Banned,0.71,0.66,92.95774647887325,No,No,3.175,West,Mountain,2015,17.5
Nevada,NV,0.8,1.8,1,2,None,Banned,Banned,0.71,0.66,92.95774647887325,No,No,3.175,West,Mountain,2014,17
Nevada,NV,0.8,1.8,1,2,None,Banned,Banned,0.71,0.66,92.95774647887325,No,No,3.175,West,Mountain,2013,19.4
Nevada,NV,0.8,1.8,1,2,None,Banned,Banned,0.71,0.66,92.95774647887325,No,No,3.175,West,Mountain,2012,18.1
Nevada,NV,0.8,1.8,1,2,None,Banned,Banned,0.71,0.66,92.95774647887325,No,No,3.175,West,Mountain,2011,22.9
New Hampshire,NH,1.73,1.78,0.050000000000000044,1,None,Designated Areas,Banned,1.01,0.91,90.0990099009901,No,No,3.925,Northeast,New England,2017,15.7
New Hampshire,NH,1.73,1.78,0.050000000000000044,1,None,Designated Areas,Banned,1.01,0.91,90.0990099009901,No,No,3.925,Northeast,New England,2016,18
New Hampshire,NH,1.73,1.78,0.050000000000000044,1,None,Designated Areas,Banned,1.01,0.91,90.0990099009901,No,No,3.925,Northeast,New England,2015,15.9
New Hampshire,NH,1.73,1.78,0.050000000000000044,1,None,Designated Areas,Banned,1.01,0.91,90.0990099009901,No,No,3.925,Northeast,New England,2014,17.5
New Hampshire,NH,1.73,1.78,0.050000000000000044,1,None,Designated Areas,Banned,1.01,0.91,90.0990099009901,No,No,3.925,Northeast,New England,2013,16.2
New Hampshire,NH,1.73,1.78,0.050000000000000044,1,None,Designated Areas,Banned,1.01,0.91,90.0990099009901,No,No,3.925,Northeast,New England,2012,17.2
New Hampshire,NH,1.73,1.78,0.050000000000000044,1,None,Designated Areas,Banned,1.01,0.91,90.0990099009901,No,No,3.925,Northeast,New England,2011,19.4
New Jersey,NJ,2.7,2.7,0,0,Banned,Banned,Banned,0.27,0.35,129.62962962962962,No,No,4.175,Northeast,Middle Atlantic,2017,13.7
New Jersey,NJ,2.7,2.7,0,0,Banned,Banned,Banned,0.27,0.35,129.62962962962962,No,No,4.175,Northeast,Middle Atlantic,2016,14
New Jersey,NJ,2.7,2.7,0,0,Banned,Banned,Banned,0.27,0.35,129.62962962962962,No,No,4.175,Northeast,Middle Atlantic,2015,13.5
New Jersey,NJ,2.7,2.7,0,0,Banned,Banned,Banned,0.27,0.35,129.62962962962962,No,No,4.175,Northeast,Middle Atlantic,2014,15.1
New Jersey,NJ,2.7,2.7,0,0,Banned,Banned,Banned,0.27,0.35,129.62962962962962,No,No,4.175,Northeast,Middle Atlantic,2013,15.7
New Jersey,NJ,2.7,2.7,0,0,Banned,Banned,Banned,0.27,0.35,129.62962962962962,No,No,4.175,Northeast,Middle Atlantic,2012,17.3
New Jersey,NJ,2.7,2.7,0,0,Banned,Banned,Banned,0.27,0.35,129.62962962962962,No,No,4.175,Northeast,Middle Atlantic,2011,16.8
New Mexico,NM,1.66,1.66,0,2,Banned,Banned,Banned,3.69,3.65,98.9159891598916,No,No,19.5,West,Mountain,2017,17.5
New Mexico,NM,1.66,1.66,0,2,Banned,Banned,Banned,3.69,3.65,98.9159891598916,No,No,19.5,West,Mountain,2016,16.6
New Mexico,NM,1.66,1.66,0,2,Banned,Banned,Banned,3.69,3.65,98.9159891598916,No,No,19.5,West,Mountain,2015,17.5
New Mexico,NM,1.66,1.66,0,2,Banned,Banned,Banned,3.69,3.65,98.9159891598916,No,No,19.5,West,Mountain,2014,19.1
New Mexico,NM,1.66,1.66,0,2,Banned,Banned,Banned,3.69,3.65,98.9159891598916,No,No,19.5,West,Mountain,2013,19.1
New Mexico,NM,1.66,1.66,0,2,Banned,Banned,Banned,3.69,3.65,98.9159891598916,No,No,19.5,West,Mountain,2012,19.3
New Mexico,NM,1.66,1.66,0,2,Banned,Banned,Banned,3.69,3.65,98.9159891598916,No,No,19.5,West,Mountain,2011,21.5
New York,NY,4.35,4.35,0,0,Banned,Banned,Banned,2.1,2.29,109.04761904761904,Yes,No,14.5,Northeast,Middle Atlantic,2017,14.1
New York,NY,4.35,4.35,0,0,Banned,Banned,Banned,2.1,2.29,109.04761904761904,Yes,No,14.5,Northeast,Middle Atlantic,2016,14.2
New York,NY,4.35,4.35,0,0,Banned,Banned,Banned,2.1,2.29,109.04761904761904,Yes,No,14.5,Northeast,Middle Atlantic,2015,15.2
New York,NY,4.35,4.35,0,0,Banned,Banned,Banned,2.1,2.29,109.04761904761904,Yes,No,14.5,Northeast,Middle Atlantic,2014,14.4
New York,NY,4.35,4.35,0,0,Banned,Banned,Banned,2.1,2.29,109.04761904761904,Yes,No,14.5,Northeast,Middle Atlantic,2013,16.6
New York,NY,4.35,4.35,0,0,Banned,Banned,Banned,2.1,2.29,109.04761904761904,Yes,No,14.5,Northeast,Middle Atlantic,2012,16.2
New York,NY,4.35,4.35,0,0,Banned,Banned,Banned,2.1,2.29,109.04761904761904,Yes,No,14.5,Northeast,Middle Atlantic,2011,18.1
North Carolina,NC,0.45,0.45,0,3,Banned,None,Banned,0.4,0.4,100,No,Not Applicable,12.424999999999999,South,South Atlantic,2017,17.2
North Carolina,NC,0.45,0.45,0,3,Banned,None,Banned,0.4,0.4,100,No,Not Applicable,12.424999999999999,South,South Atlantic,2016,17.9
North Carolina,NC,0.45,0.45,0,3,Banned,None,Banned,0.4,0.4,100,No,Not Applicable,12.424999999999999,South,South Atlantic,2015,19
North Carolina,NC,0.45,0.45,0,3,Banned,None,Banned,0.4,0.4,100,No,Not Applicable,12.424999999999999,South,South Atlantic,2014,19.1
North Carolina,NC,0.45,0.45,0,3,Banned,None,Banned,0.4,0.4,100,No,Not Applicable,12.424999999999999,South,South Atlantic,2013,20.3
North Carolina,NC,0.45,0.45,0,3,Banned,None,Banned,0.4,0.4,100,No,Not Applicable,12.424999999999999,South,South Atlantic,2012,20.9
North Carolina,NC,0.45,0.45,0,3,Banned,None,Banned,0.4,0.4,100,No,Not Applicable,12.424999999999999,South,South Atlantic,2011,21.8
North Dakota,ND,0.44,0.44,0,0,Banned,Banned,Banned,14.43,15.49,107.34580734580734,No,Not Applicable,11.725,Midwest,West North Central,2017,18.3
North Dakota,ND,0.44,0.44,0,0,Banned,Banned,Banned,14.43,15.49,107.34580734580734,No,Not Applicable,11.725,Midwest,West North Central,2016,19.8
North Dakota,ND,0.44,0.44,0,0,Banned,Banned,Banned,14.43,15.49,107.34580734580734,No,Not Applicable,11.725,Midwest,West North Central,2015,18.7
North Dakota,ND,0.44,0.44,0,0,Banned,Banned,Banned,14.43,15.49,107.34580734580734,No,Not Applicable,11.725,Midwest,West North Central,2014,19.9
North Dakota,ND,0.44,0.44,0,0,Banned,Banned,Banned,14.43,15.49,107.34580734580734,No,Not Applicable,11.725,Midwest,West North Central,2013,21.2
North Dakota,ND,0.44,0.44,0,0,Banned,Banned,Banned,14.43,15.49,107.34580734580734,No,Not Applicable,11.725,Midwest,West North Central,2012,21.2
North Dakota,ND,0.44,0.44,0,0,Banned,Banned,Banned,14.43,15.49,107.34580734580734,No,Not Applicable,11.725,Midwest,West North Central,2011,21.9
Ohio,OH,1.25,1.6,0.3500000000000001,0,Banned,Banned,Banned,0.55,0.31,56.36363636363636,Yes,Yes,3.95,Midwest,East North Central,2017,21.1
Ohio,OH,1.25,1.6,0.3500000000000001,0,Banned,Banned,Banned,0.55,0.31,56.36363636363636,Yes,Yes,3.95,Midwest,East North Central,2016,22.5
Ohio,OH,1.25,1.6,0.3500000000000001,0,Banned,Banned,Banned,0.55,0.31,56.36363636363636,Yes,Yes,3.95,Midwest,East North Central,2015,21.6
Ohio,OH,1.25,1.6,0.3500000000000001,0,Banned,Banned,Banned,0.55,0.31,56.36363636363636,Yes,Yes,3.95,Midwest,East North Central,2014,21
Ohio,OH,1.25,1.6,0.3500000000000001,0,Banned,Banned,Banned,0.55,0.31,56.36363636363636,Yes,Yes,3.95,Midwest,East North Central,2013,23.4
Ohio,OH,1.25,1.6,0.3500000000000001,0,Banned,Banned,Banned,0.55,0.31,56.36363636363636,Yes,Yes,3.95,Midwest,East North Central,2012,23.3
Ohio,OH,1.25,1.6,0.3500000000000001,0,Banned,Banned,Banned,0.55,0.31,56.36363636363636,Yes,Yes,3.95,Midwest,East North Central,2011,25.1
Oklahoma,OK,1.03,1.03,0,3,None,Designated Areas,Separate Ventilated Areas,6.34,5.93,93.53312302839117,No,Not Applicable,37.725,South,West South Central,2017,20.1
Oklahoma,OK,1.03,1.03,0,3,None,Designated Areas,Separate Ventilated Areas,6.34,5.93,93.53312302839117,No,Not Applicable,37.725,South,West South Central,2016,19.6
Oklahoma,OK,1.03,1.03,0,3,None,Designated Areas,Separate Ventilated Areas,6.34,5.93,93.53312302839117,No,Not Applicable,37.725,South,West South Central,2015,22.2
Oklahoma,OK,1.03,1.03,0,3,None,Designated Areas,Separate Ventilated Areas,6.34,5.93,93.53312302839117,No,Not Applicable,37.725,South,West South Central,2014,21.1
Oklahoma,OK,1.03,1.03,0,3,None,Designated Areas,Separate Ventilated Areas,6.34,5.93,93.53312302839117,No,Not Applicable,37.725,South,West South Central,2013,23.7
Oklahoma,OK,1.03,1.03,0,3,None,Designated Areas,Separate Ventilated Areas,6.34,5.93,93.53312302839117,No,Not Applicable,37.725,South,West South Central,2012,23.3
Oklahoma,OK,1.03,1.03,0,3,None,Designated Areas,Separate Ventilated Areas,6.34,5.93,93.53312302839117,No,Not Applicable,37.725,South,West South Central,2011,26.1
Oregon,OR,1.18,1.32,0.14000000000000012,1,Banned,Banned,Banned,2.82,2.5,88.65248226950355,Yes,Yes,8.125,West,Pacific,2017,16.1
Oregon,OR,1.18,1.32,0.14000000000000012,1,Banned,Banned,Banned,2.82,2.5,88.65248226950355,Yes,Yes,8.125,West,Pacific,2016,16.2
Oregon,OR,1.18,1.32,0.14000000000000012,1,Banned,Banned,Banned,2.82,2.5,88.65248226950355,Yes,Yes,8.125,West,Pacific,2015,17.1
Oregon,OR,1.18,1.32,0.14000000000000012,1,Banned,Banned,Banned,2.82,2.5,88.65248226950355,Yes,Yes,8.125,West,Pacific,2014,17
Oregon,OR,1.18,1.32,0.14000000000000012,1,Banned,Banned,Banned,2.82,2.5,88.65248226950355,Yes,Yes,8.125,West,Pacific,2013,17.3
Oregon,OR,1.18,1.32,0.14000000000000012,1,Banned,Banned,Banned,2.82,2.5,88.65248226950355,Yes,Yes,8.125,West,Pacific,2012,17.9
Oregon,OR,1.18,1.32,0.14000000000000012,1,Banned,Banned,Banned,2.82,2.5,88.65248226950355,Yes,Yes,8.125,West,Pacific,2011,19.7
Pennsylvania,PA,1.6,2.6,1,3,None,Banned,Separate Ventilated Areas,0.94,0.94,100,Yes,No,5.025,Northeast,Middle Atlantic,2017,18.7
Pennsylvania,PA,1.6,2.6,1,3,None,Banned,Separate Ventilated Areas,0.94,0.94,100,Yes,No,5.025,Northeast,Middle Atlantic,2016,18
Pennsylvania,PA,1.6,2.6,1,3,None,Banned,Separate Ventilated Areas,0.94,0.94,100,Yes,No,5.025,Northeast,Middle Atlantic,2015,18.1
Pennsylvania,PA,1.6,2.6,1,3,None,Banned,Separate Ventilated Areas,0.94,0.94,100,Yes,No,5.025,Northeast,Middle Atlantic,2014,19.9
Pennsylvania,PA,1.6,2.6,1,3,None,Banned,Separate Ventilated Areas,0.94,0.94,100,Yes,No,5.025,Northeast,Middle Atlantic,2013,21
Pennsylvania,PA,1.6,2.6,1,3,None,Banned,Separate Ventilated Areas,0.94,0.94,100,Yes,No,5.025,Northeast,Middle Atlantic,2012,21.4
Pennsylvania,PA,1.6,2.6,1,3,None,Banned,Separate Ventilated Areas,0.94,0.94,100,Yes,No,5.025,Northeast,Middle Atlantic,2011,22.4
Rhode Island,RI,3.46,4,0.54,0,Banned,Banned,Banned,2.11,2.19,103.7914691943128,No,Yes,3.3,Northeast,New England,2017,14.9
Rhode Island,RI,3.46,4,0.54,0,Banned,Banned,Banned,2.11,2.19,103.7914691943128,No,Yes,3.3,Northeast,New England,2016,14.4
Rhode Island,RI,3.46,4,0.54,0,Banned,Banned,Banned,2.11,2.19,103.7914691943128,No,Yes,3.3,Northeast,New England,2015,15.5
Rhode Island,RI,3.46,4,0.54,0,Banned,Banned,Banned,2.11,2.19,103.7914691943128,No,Yes,3.3,Northeast,New England,2014,16.3
Rhode Island,RI,3.46,4,0.54,0,Banned,Banned,Banned,2.11,2.19,103.7914691943128,No,Yes,3.3,Northeast,New England,2013,17.4
Rhode Island,RI,3.46,4,0.54,0,Banned,Banned,Banned,2.11,2.19,103.7914691943128,No,Yes,3.3,Northeast,New England,2012,17.4
Rhode Island,RI,3.46,4,0.54,0,Banned,Banned,Banned,2.11,2.19,103.7914691943128,No,Yes,3.3,Northeast,New England,2011,20
South Carolina,SC,0.57,0.57,0,3,None,None,None,1.4,1.05,75,Yes,Yes,20.675,South,South Atlantic,2017,18.8
South Carolina,SC,0.57,0.57,0,3,None,None,None,1.4,1.05,75,Yes,Yes,20.675,South,South Atlantic,2016,20
South Carolina,SC,0.57,0.57,0,3,None,None,None,1.4,1.05,75,Yes,Yes,20.675,South,South Atlantic,2015,19.7
South Carolina,SC,0.57,0.57,0,3,None,None,None,1.4,1.05,75,Yes,Yes,20.675,South,South Atlantic,2014,21.5
South Carolina,SC,0.57,0.57,0,3,None,None,None,1.4,1.05,75,Yes,Yes,20.675,South,South Atlantic,2013,22
South Carolina,SC,0.57,0.57,0,3,None,None,None,1.4,1.05,75,Yes,Yes,20.675,South,South Atlantic,2012,22.5
South Carolina,SC,0.57,0.57,0,3,None,None,None,1.4,1.05,75,Yes,Yes,20.675,South,South Atlantic,2011,23.1
South Dakota,SD,1.53,1.53,0,3,Banned,Banned,Banned,5.82,6.4,109.96563573883161,No,Not Applicable,37.5,Midwest,West North Central,2017,19.3
South Dakota,SD,1.53,1.53,0,3,Banned,Banned,Banned,5.82,6.4,109.96563573883161,No,Not Applicable,37.5,Midwest,West North Central,2016,18.1
South Dakota,SD,1.53,1.53,0,3,Banned,Banned,Banned,5.82,6.4,109.96563573883161,No,Not Applicable,37.5,Midwest,West North Central,2015,20.1
South Dakota,SD,1.53,1.53,0,3,Banned,Banned,Banned,5.82,6.4,109.96563573883161,No,Not Applicable,37.5,Midwest,West North Central,2014,18.6
South Dakota,SD,1.53,1.53,0,3,Banned,Banned,Banned,5.82,6.4,109.96563573883161,No,Not Applicable,37.5,Midwest,West North Central,2013,19.6
South Dakota,SD,1.53,1.53,0,3,Banned,Banned,Banned,5.82,6.4,109.96563573883161,No,Not Applicable,37.5,Midwest,West North Central,2012,22
South Dakota,SD,1.53,1.53,0,3,Banned,Banned,Banned,5.82,6.4,109.96563573883161,No,Not Applicable,37.5,Midwest,West North Central,2011,23
Tennessee,TN,0.62,0.62,0,3,None,Banned,Designated Areas,1.08,1.09,100.92592592592594,Not Applicable,No,6.7,South,East South Central,2017,22.6
Tennessee,TN,0.62,0.62,0,3,None,Banned,Designated Areas,1.08,1.09,100.92592592592594,Not Applicable,No,6.7,South,East South Central,2016,22.1
Tennessee,TN,0.62,0.62,0,3,None,Banned,Designated Areas,1.08,1.09,100.92592592592594,Not Applicable,No,6.7,South,East South Central,2015,21.9
Tennessee,TN,0.62,0.62,0,3,None,Banned,Designated Areas,1.08,1.09,100.92592592592594,Not Applicable,No,6.7,South,East South Central,2014,24.2
Tennessee,TN,0.62,0.62,0,3,None,Banned,Designated Areas,1.08,1.09,100.92592592592594,Not Applicable,No,6.7,South,East South Central,2013,24.3
Tennessee,TN,0.62,0.62,0,3,None,Banned,Designated Areas,1.08,1.09,100.92592592592594,Not Applicable,No,6.7,South,East South Central,2012,24.9
Tennessee,TN,0.62,0.62,0,3,None,Banned,Designated Areas,1.08,1.09,100.92592592592594,Not Applicable,No,6.7,South,East South Central,2011,23
Texas,TX,1.41,1.41,0,1,None,None,None,0.57,0.47,82.4561403508772,No,No,4.824999999999999,South,West South Central,2017,15.7
Texas,TX,1.41,1.41,0,1,None,None,None,0.57,0.47,82.4561403508772,No,No,4.824999999999999,South,West South Central,2016,14.3
Texas,TX,1.41,1.41,0,1,None,None,None,0.57,0.47,82.4561403508772,No,No,4.824999999999999,South,West South Central,2015,15.2
Texas,TX,1.41,1.41,0,1,None,None,None,0.57,0.47,82.4561403508772,No,No,4.824999999999999,South,West South Central,2014,14.5
Texas,TX,1.41,1.41,0,1,None,None,None,0.57,0.47,82.4561403508772,No,No,4.824999999999999,South,West South Central,2013,15.9
Texas,TX,1.41,1.41,0,1,None,None,None,0.57,0.47,82.4561403508772,No,No,4.824999999999999,South,West South Central,2012,18.2
Texas,TX,1.41,1.41,0,1,None,None,None,0.57,0.47,82.4561403508772,No,No,4.824999999999999,South,West South Central,2011,19.2
Utah,UT,1.7,1.7,0,3,Banned,Banned,Banned,3.1,3.41,110,No,No,11.05,West,Mountain,2017,8.9
Utah,UT,1.7,1.7,0,3,Banned,Banned,Banned,3.1,3.41,110,No,No,11.05,West,Mountain,2016,8.8
Utah,UT,1.7,1.7,0,3,Banned,Banned,Banned,3.1,3.41,110,No,No,11.05,West,Mountain,2015,9.1
Utah,UT,1.7,1.7,0,3,Banned,Banned,Banned,3.1,3.41,110,No,No,11.05,West,Mountain,2014,9.7
Utah,UT,1.7,1.7,0,3,Banned,Banned,Banned,3.1,3.41,110,No,No,11.05,West,Mountain,2013,10.3
Utah,UT,1.7,1.7,0,3,Banned,Banned,Banned,3.1,3.41,110,No,No,11.05,West,Mountain,2012,10.6
Utah,UT,1.7,1.7,0,3,Banned,Banned,Banned,3.1,3.41,110,No,No,11.05,West,Mountain,2011,11.8
Vermont,VT,2.43,3.08,0.6499999999999999,0,Banned,Banned,Banned,8.78,6.21,70.72892938496584,No,No,7.375,Northeast,New England,2017,15.8
Vermont,VT,2.43,3.08,0.6499999999999999,0,Banned,Banned,Banned,8.78,6.21,70.72892938496584,No,No,7.375,Northeast,New England,2016,17
Vermont,VT,2.43,3.08,0.6499999999999999,0,Banned,Banned,Banned,8.78,6.21,70.72892938496584,No,No,7.375,Northeast,New England,2015,16
Vermont,VT,2.43,3.08,0.6499999999999999,0,Banned,Banned,Banned,8.78,6.21,70.72892938496584,No,No,7.375,Northeast,New England,2014,16.4
Vermont,VT,2.43,3.08,0.6499999999999999,0,Banned,Banned,Banned,8.78,6.21,70.72892938496584,No,No,7.375,Northeast,New England,2013,16.6
Vermont,VT,2.43,3.08,0.6499999999999999,0,Banned,Banned,Banned,8.78,6.21,70.72892938496584,No,No,7.375,Northeast,New England,2012,16.5
Vermont,VT,2.43,3.08,0.6499999999999999,0,Banned,Banned,Banned,8.78,6.21,70.72892938496584,No,No,7.375,Northeast,New England,2011,19.1
Virginia,VA,0.3,0.3,0,1,Separate Ventilated Areas,None,Separate Ventilated Areas,1.46,1.25,85.61643835616438,No,No,4.5,South,South Atlantic,2017,16.4
Virginia,VA,0.3,0.3,0,1,Separate Ventilated Areas,None,Separate Ventilated Areas,1.46,1.25,85.61643835616438,No,No,4.5,South,South Atlantic,2016,15.3
Virginia,VA,0.3,0.3,0,1,Separate Ventilated Areas,None,Separate Ventilated Areas,1.46,1.25,85.61643835616438,No,No,4.5,South,South Atlantic,2015,16.5
Virginia,VA,0.3,0.3,0,1,Separate Ventilated Areas,None,Separate Ventilated Areas,1.46,1.25,85.61643835616438,No,No,4.5,South,South Atlantic,2014,19.5
Virginia,VA,0.3,0.3,0,1,Separate Ventilated Areas,None,Separate Ventilated Areas,1.46,1.25,85.61643835616438,No,No,4.5,South,South Atlantic,2013,19
Virginia,VA,0.3,0.3,0,1,Separate Ventilated Areas,None,Separate Ventilated Areas,1.46,1.25,85.61643835616438,No,No,4.5,South,South Atlantic,2012,19
Virginia,VA,0.3,0.3,0,1,Separate Ventilated Areas,None,Separate Ventilated Areas,1.46,1.25,85.61643835616438,No,No,4.5,South,South Atlantic,2011,20.9
Washington,WA,3.025,3.025,0,4,Banned,Banned,Banned,0.5,0.42,84,No,No,6.15,West,Pacific,2017,13.5
Washington,WA,3.025,3.025,0,4,Banned,Banned,Banned,0.5,0.42,84,No,No,6.15,West,Pacific,2016,13.9
Washington,WA,3.025,3.025,0,4,Banned,Banned,Banned,0.5,0.42,84,No,No,6.15,West,Pacific,2015,15
Washington,WA,3.025,3.025,0,4,Banned,Banned,Banned,0.5,0.42,84,No,No,6.15,West,Pacific,2014,15.3
Washington,WA,3.025,3.025,0,4,Banned,Banned,Banned,0.5,0.42,84,No,No,6.15,West,Pacific,2013,16.1
Washington,WA,3.025,3.025,0,4,Banned,Banned,Banned,0.5,0.42,84,No,No,6.15,West,Pacific,2012,17.2
Washington,WA,3.025,3.025,0,4,Banned,Banned,Banned,0.5,0.42,84,No,No,6.15,West,Pacific,2011,17.5
West Virginia,WV,0.55,1.2,0.6499999999999999,1,None,None,None,3.99,2.88,72.18045112781955,No,No,41.775,South,South Atlantic,2017,26.0
West Virginia,WV,0.55,1.2,0.6499999999999999,1,None,None,None,3.99,2.88,72.18045112781955,No,No,41.775,South,South Atlantic,2016,24.8
West Virginia,WV,0.55,1.2,0.6499999999999999,1,None,None,None,3.99,2.88,72.18045112781955,No,No,41.775,South,South Atlantic,2015,25.7
West Virginia,WV,0.55,1.2,0.6499999999999999,1,None,None,None,3.99,2.88,72.18045112781955,No,No,41.775,South,South Atlantic,2014,26.7
West Virginia,WV,0.55,1.2,0.6499999999999999,1,None,None,None,3.99,2.88,72.18045112781955,No,No,41.775,South,South Atlantic,2013,27.3
West Virginia,WV,0.55,1.2,0.6499999999999999,1,None,None,None,3.99,2.88,72.18045112781955,No,No,41.775,South,South Atlantic,2012,28.2
West Virginia,WV,0.55,1.2,0.6499999999999999,1,None,None,None,3.99,2.88,72.18045112781955,No,No,41.775,South,South Atlantic,2011,28.6
Wisconsin,WI,2.52,2.52,0,3,Banned,Banned,Banned,1.24,1.13,91.1290322580645,No,No,7.175,Midwest,East North Central,2017,16.0
Wisconsin,WI,2.52,2.52,0,3,Banned,Banned,Banned,1.24,1.13,91.1290322580645,No,No,7.175,Midwest,East North Central,2016,17.1
Wisconsin,WI,2.52,2.52,0,3,Banned,Banned,Banned,1.24,1.13,91.1290322580645,No,No,7.175,Midwest,East North Central,2015,17.3
Wisconsin,WI,2.52,2.52,0,3,Banned,Banned,Banned,1.24,1.13,91.1290322580645,No,No,7.175,Midwest,East North Central,2014,17.4
Wisconsin,WI,2.52,2.52,0,3,Banned,Banned,Banned,1.24,1.13,91.1290322580645,No,No,7.175,Midwest,East North Central,2013,18.7
Wisconsin,WI,2.52,2.52,0,3,Banned,Banned,Banned,1.24,1.13,91.1290322580645,No,No,7.175,Midwest,East North Central,2012,20.4
Wisconsin,WI,2.52,2.52,0,3,Banned,Banned,Banned,1.24,1.13,91.1290322580645,No,No,7.175,Midwest,East North Central,2011,20.9
Wyoming,WY,0.6,0.6,0,1,None,None,None,10.38,10.78,103.85356454720616,No,Not Applicable,13.85,West,Mountain,2017,18.7
Wyoming,WY,0.6,0.6,0,1,None,None,None,10.38,10.78,103.85356454720616,No,Not Applicable,13.85,West,Mountain,2016,18.9
Wyoming,WY,0.6,0.6,0,1,None,None,None,10.38,10.78,103.85356454720616,No,Not Applicable,13.85,West,Mountain,2015,19.1
Wyoming,WY,0.6,0.6,0,1,None,None,None,10.38,10.78,103.85356454720616,No,Not Applicable,13.85,West,Mountain,2014,19.5
Wyoming,WY,0.6,0.6,0,1,None,None,None,10.38,10.78,103.85356454720616,No,Not Applicable,13.85,West,Mountain,2013,20.6
Wyoming,WY,0.6,0.6,0,1,None,None,None,10.38,10.78,103.85356454720616,No,Not Applicable,13.85,West,Mountain,2012,21.8
Wyoming,WY,0.6,0.6,0,1,None,None,None,10.38,10.78,103.85356454720616,No,Not Applicable,13.85,West,Mountain,2011,23
